0.0	11.900000345139278	23.800000690278555	35.70000103541783	59.523809523809526	71.42857142857143	83.33333333333334	95.23809523809524
1800.0	-10.53853965	-4.6408248	0.23204123999999998	1.41158421	-0.07734708	0.36739863	0.81214434	1.25689005
2000.0	-10.53853965	-5.12424405	1.00551204	2.39775948	0.52209279	1.33423713	2.14638147	4.67949834
2200.0	-10.53853965	-5.89771485	1.9723505399999999	2.95852581	1.12153266	2.30107563	3.49995537	8.1214434
2400.0	-10.53853965	-6.5745018	2.28173886	3.44194506	1.72097253	3.2872509	4.85352927	11.56338846
2600.0	-11.06063244	-6.9612372	2.3204124	4.13806878	2.33974917	6.5551650299999995	10.77058089	15.005333519999999
3200.0	-11.9887974	-7.5413403	3.6739863	5.0275602	2.93918904	6.9612372	10.98328536	15.005333519999999
3600.0	-12.82027851	-8.8949142	1.83699315	5.4529691399999995	3.53862891	7.3479726	11.17665306	15.005333519999999
4000.0	-13.24568745	-8.8949142	-2.3204124	5.10490728	4.13806878	7.75404477	11.37002076	15.005333519999999
5200.0	-13.24568745	-8.8949142	-2.3204124	4.54414095	4.71817188	8.14078017	11.56338846	15.005333519999999
6000.0	-13.671096389999999	-8.8949142	-2.3204124	4.31209971	4.15740555	7.77338154	11.38935753	15.005333519999999
6400.0	-13.671096389999999	-8.8949142	-2.3204124	3.44194506	3.57730245	7.38664614	11.19598983	15.005333519999999
6800.0	-13.671096389999999	-8.8949142	-2.3204124	2.35908594	2.99719935	6.99991074	11.00262213	15.005333519999999
